time,member_id,TREFHT
2006-01-01 00:00:00,1,286.3492093985956
2006-01-02 00:00:00,1,283.78699270068023
2006-01-03 00:00:00,1,282.4218124330864
2006-01-04 00:00:00,1,278.2450750012597
2006-01-05 00:00:00,1,279.3370919474796
2006-01-06 00:00:00,1,276.11372335374665
2006-01-07 00:00:00,1,275.0230139814931
2006-01-08 00:00:00,1,274.41058179817884
2006-01-09 00:00:00,1,274.4685674614266
2006-01-10 00:00:00,1,274.3264660060105
2006-01-11 00:00:00,1,280.7255614213375
2006-01-12 00:00:00,1,284.56722976060746
2006-01-13 00:00:00,1,282.39849868379065
2006-01-14 00:00:00,1,277.5629841655092
2006-01-15 00:00:00,1,276.3243650952381
2006-01-16 00:00:00,1,272.8453430268976
2006-01-17 00:00:00,1,271.3207577376876
2006-01-18 00:00:00,1,272.949167745997
2006-01-19 00:00:00,1,276.8215754646847
2006-01-20 00:00:00,1,277.60571805207803
2006-01-21 00:00:00,1,276.36594258288966
2006-01-22 00:00:00,1,271.75320717687543
2006-01-23 00:00:00,1,268.53525761596916
2006-01-24 00:00:00,1,267.6243470464514
2006-01-25 00:00:00,1,266.5253483891903
2006-01-26 00:00:00,1,267.64686815390377
2006-01-27 00:00:00,1,268.0733903594685
2006-01-28 00:00:00,1,266.3073996395635
2006-01-29 00:00:00,1,265.0238640045683
2006-01-30 00:00:00,1,263.871193002896
2006-01-31 00:00:00,1,264.26982417411597
2006-02-01 00:00:00,1,264.926783172868
2006-02-02 00:00:00,1,262.91309274877864
2006-02-03 00:00:00,1,263.055036332341
2006-02-04 00:00:00,1,264.93704285789653
2006-02-05 00:00:00,1,267.1748416476371
2006-02-06 00:00:00,1,268.5561358612231
2006-02-07 00:00:00,1,268.87382684168836
2006-02-08 00:00:00,1,268.95169222894907
2006-02-09 00:00:00,1,269.04909117316924
2006-02-10 00:00:00,1,268.9764588005147
2006-02-11 00:00:00,1,268.28810797059384
2006-02-12 00:00:00,1,267.9534867792787
2006-02-13 00:00:00,1,267.60551504533294
2006-02-14 00:00:00,1,267.64360492565095
2006-02-15 00:00:00,1,269.2373339405616
2006-02-16 00:00:00,1,272.40363223983564
2006-02-17 00:00:00,1,277.3782041430282
2006-02-18 00:00:00,1,278.6456574970991
2006-02-19 00:00:00,1,278.5094563216573
2006-02-20 00:00:00,1,277.7477518359999
2006-02-21 00:00:00,1,277.21264483727384
2006-02-22 00:00:00,1,276.71226317830667
2006-02-23 00:00:00,1,278.6237255921209
2006-02-24 00:00:00,1,282.9443366087852
2006-02-25 00:00:00,1,280.7377895003889
2006-02-26 00:00:00,1,278.28492949590157
2006-02-27 00:00:00,1,281.15649588148665
2006-02-28 00:00:00,1,280.82994832892416
2006-03-01 00:00:00,1,280.5028498519513
2006-03-02 00:00:00,1,282.01211270123565
2006-03-03 00:00:00,1,283.3779778103014
2006-03-04 00:00:00,1,279.67381733172425
2006-03-05 00:00:00,1,281.9700907109589
